Organ System,Section,Video,Order,UWorld QIDs,COMLEX QIDs,Course,Question Type
Principles of Productivity,Introduction to UWorld Review,A Preview to the Notion USMLE Notes Review Template,1,,,Step 2 CK Rapid,
Principles of Productivity,Introduction to UWorld Review,UWorld Concept Map,2,,,Step 2 CK Rapid,
Principles of Productivity,Introduction to UWorld Review,How to Use AI to Review UWorld (2026),3,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,What is UWorld,4,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Session Overview,5,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Mindset 1,6,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Mindset 2,7,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Mindset 3,8,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,UWorld Workflow,9,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Tutor vs Timed Mode,10,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Intro to UW Review,11,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Mindset 4,12,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Intro to Fab 5,13,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Mindset 5,14,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Rapid Big Picture,15,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Fab 5,16,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,OPEN LEAF,17,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Reviewing the Explanation,18,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Creating_a_Vignette-Based_Card,19,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Demographics,20,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Vignette Structure,21,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Notion Demo,22,,,Step 2 CK Rapid,
Principles of Productivity,How to Review UWorld | HyGuru Method,Conclusion,23,,,Step 2 CK Rapid,
Principles of Productivity,HyGuru Test Taking Strategies Masterclass,Masterclass Overview,24,,,Step 2 CK Rapid,
Principles of Productivity,HyGuru Test Taking Strategies Masterclass,Introduction to USMLE Step 2 CK Test Taking Masterclass,25,,,Step 2 CK Rapid,
Principles of Productivity,HyGuru Test Taking Strategies Masterclass,Key Mindsets,26,,,Step 2 CK Rapid,
Principles of Productivity,HyGuru Test Taking Strategies Masterclass,Difference between Step 1 vs. Step 2 CK,27,,,Step 2 CK Rapid,
Principles of Productivity,HyGuru Test Taking Strategies Masterclass,Approach to What is the likely Diagnosis,28,,,Step 2 CK Rapid,
Principles of Productivity,HyGuru Test Taking Strategies Masterclass,Approach to What is the NBS in Management,29,,,Step 2 CK Rapid,
Principles of Productivity,HyGuru Test Taking Strategies Masterclass,Unstable Vital Signs on Step 2 CK,30,,,Step 2 CK Rapid,
Principles of Productivity,HyGuru Test Taking Strategies Masterclass,Application of NBS Strategy,31,,,Step 2 CK Rapid,
Principles of Productivity,HyGuru Test Taking Strategies Masterclass,"Drug Ad, Research Based Question, & Interpretation of Chart",32,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,How to Study on Clerkships,33,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,USMLE Step 2 CK Rapid Review Drill,34,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Dedicated Study (Introduction),35,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Mapping out NBME Assessments,36,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Daily Dedicated Study Schedule,37,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Reviewing UWorld Step 2 CK (Fab 5),38,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Concept Mapping UW Questions,39,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Utilizing AI & Chat GPT for USMLE,40,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Essential Triad (UW),41,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Reviewing Incorrects,42,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Reviewing your Notes & UW Algorithms (FAQ),43,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Approaching Down to 2,44,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Improving on NBMEs,45,,,Step 2 CK Rapid,
Principles of Productivity,Principles of Productivity for Shelf & USMLE Step 2 CK,Productivity Techniques for Step 2 CK,46,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Stem Paraphrase Predict,47,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Systematic Thinking & Clinical Reasoning,48,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Gynecology,49,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Obstetrics,50,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Pediatrics,51,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Psychiatry,52,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Family Medicine z,53,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Internal Medicine - Cardiology,54,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Internal Medicine - Respiratory,55,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Internal Medicine - Renal,56,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Internal Medicine - Heme x,57,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Internal Medicine - Neurology,58,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Internal Medicine - Gastroenterology,59,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Internal Medicine - Endocrinology m,60,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Internal Medicine - Rheumatology,61,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Internal Medicine - Dermatology,62,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Internal Medicine - Infectious Disease,63,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Internal Medicine - Ophthalmology A,64,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Test Taking Strategies Surgery *,65,,,Step 2 CK Rapid,
Test Taking Strategies,Clerkship Specific Test Taking Strategies (USMLE Step 2 CK),Conclusion & Test Taking Psychology,66,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Anatomy of a USMLE Question,67,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Chief Complaint,68,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Mental Frameworks,69,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Summary of the Chief Complaint,70,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,History of Present Illness,71,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Refractory in USMLE Questions,72,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Past Medical History,73,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Medications,74,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Therapeutic Index & Pharmacokinetics,75,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Summary of Medications,76,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Allergies,77,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Social History,78,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Smoking Alcohol on the USMLE,79,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Portal Triad Hepatology,80,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Family History,81,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Pedigrees,82,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Summary of Family History,83,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Vital Sign,84,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Shock Integration,85,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Oxygen Delivery,86,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Growth Percentiles,87,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Summary of Vital Signs,88,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Physical Exam & Shock,89,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Murmurs,90,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Lung Physical Exam,91,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Hemostasis Physical Exam,92,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Oncology Physical Exam,93,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Labs,94,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Test Taking Approach to Labs,95,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,CSF Interpretation,96,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Summary of Labs,97,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Imaging,98,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Test Taking Approach to Imaging,99,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,Summary of Images,100,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,"Review of Stem, Paraphrase, & Predict",101,,,Step 2 CK Rapid,
Test Taking Strategies,Thinking Like the Test Maker | Understanding a Vignette,USMLE Test Taking Psychology,102,,,Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Introduction,103,,,Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Review of Anatomy of a Vignette,104,,,Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Approach to Labs,105,,,Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Approach to LFTs,106,"2937,2900, 2914, 2986","28747,28710, 28724, 28796",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Basic Science Integration,107,"2978, 16170,2248, 3610, 4437","28788, 103282,28066, 100411, 101223",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Indirect Hyperbilirubinemia,108,"2923, 2983,2475,2870","28733, 28793,28290,28680",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Approach to Alkaline Phosphatase,109,"3516, 2144, 4659, 3518,2973, 4648,2886,19830, 2629, 15662,20396","100318, 27963, 101441, 100320,28783, 101430,28696,104442, 28441, 102922,20396",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Approach to the Gallbladder Tree,110,"17598, 2978, 16166,16270, 16271, 16288, 3970,2975, 16129, 16121, 2973, 4433,16148,17640, 15723,4558, 2627","104128, 28788, 103279,103368, 103369, 103378, 100762,28785, 103252, 103244, 28783, 101220,103266,103801, 102955,101341, 28439",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Serum Lab Values,111,"4703, 3689, 4779, 4585","101484, 100486, 101559, 101368",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Acute Kidney Injury,112,"10776, 3336, 4337, 13932, 3987","101951, 100142, 101125, 102437, 100779",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Acid Base Integration,113,"2788, 16113, 2790, 4489, 4435, 4535, 18890, 4677, 4570, 4105, 2725, 8897","28600, 103239, 28602, 101274, 101221, 101319, 104067, 101458, 101353, 100895, 28537, 101844",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Anion Gap Metabolic Acidosis,114,"4515,4337, 14195, 10763,3136, 10776, 2224,2262, 2917,3161, 2799","10129,101125, 102531, 10763,28943, 101951, 28042,28080, 28727,28968, 28611",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Glucose Disorders,115,"4885, 4046, 2592, 12366, 2184, 2404,17146, 16218, 16137, 20217, 3193","100836, 28405, 102200, 28002, 28221,103697, 103321, 103259, 104627, 100001",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Hyperkalemia,116,"4306, 4420, 17863, 19929, 4422, 8331, 4428, 2810, 2641","101094, 101207, 103830, 105022, 101209, 101809, 101215, 28622, 28453",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Chronic Sodium Abnormalities,117,"2725, 8897, 4853,4190, 4420, 17863, 17146, 4430, 3899, 13446, 12222, 3117, 7722","28537, 101844, 101631,100979, 101207, 103697, 101217, 100691, 102740, 102117, 28924, 101800",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Hypernatremia,118,"2725, 8897, 4853","28537, 101844, 101631",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Management of Hyperkalemia,119,"19929, 4422, 3648,4428","105022, 101209, 100446,101215",Step 2 CK Rapid,
Labs,Approach to NBME Labs | USMLE Step 2 CK (Chemistries),Secondary Hypertension,120,"8819,4682, 3866, 2172, 3933,4722,15974,17858","101816,101463, 100659, 27990, 100725,101503,103128,103826",Step 2 CK Rapid,
